cluster_a,location_a,cluster_b,location_b,cosine_distance,geo_dist_km,criterion
58,宮崎県 延岡市,88,福岡県 大牟田市,0.0009079575538635254,147.1911579348273,孤立リーフペア
63,神奈川県 相模原市,132,中央区,0.0019553303718566895,51.47889322126854,孤立リーフペア
66,岐阜県 御嵩町,128,大阪府 泉佐野市,0.0014500617980957031,204.92555407690074,孤立リーフペア
68,愛媛県 伊方町,84,熊本県 水俣市,0.000866234302520752,217.94602575463557,孤立リーフペア
69,岐阜県 郡上市,92,大阪府 豊中市,0.0036806464195251465,186.25441630616967,孤立リーフペア
74,愛媛県 宇和島市,95,大分県 中津市,0.001292407512664795,127.12683488753356,孤立リーフペア
91,山梨県 南部町,113,兵庫県 神戸市,0.0013017058372497559,313.05999527313946,孤立リーフペア
94,熊本県 八代市,95,大分県 中津市,0.0008703470230102539,110.87251981120161,孤立リーフペア
100,愛媛県 大洲市,98,岐阜県 揖斐川町,0.000538945198059082,422.7461030882162,孤立リーフペア
105,香川県 坂出市,104,高知県 須崎市,0.0005953311920166016,109.9949064556114,孤立リーフペア
109,滋賀県 甲賀市,115,山梨県 早川町,0.0017762184143066406,219.9233212655037,孤立リーフペア
111,山梨県 鳴沢村,123,愛知県 豊田市,0.0020236968994140625,131.22812752394387,孤立リーフペア
112,滋賀県 日野町,113,兵庫県 神戸市,0.0011119246482849121,102.80058693922238,孤立リーフペア
117,台東区,120,山梨県 道志村,0.0008446574211120605,65.34990241632923,孤立リーフペア
119,長野県 阿南町,111,山梨県 鳴沢村,0.0034800171852111816,82.90244903469906,孤立リーフペア
122,徳島県 那賀町,107,兵庫県 猪名川町,0.0006234645843505859,169.72816724855366,孤立リーフペア
126,岐阜県 岐阜市,131,長野県 天龍村,0.0007874965667724609,96.70863021619202,孤立リーフペア
127,大阪府 大阪市,129,滋賀県 近江八幡市,0.0007148981094360352,69.25597141692856,孤立リーフペア
