hdbscan_10,count,lat_mean,lat_std,lon_mean,lon_std,location,umap_std_mean,geo_std_km
0,27,37.96032355857871,1.2067887094587704,138.7256265822251,1.8674696075973247,新潟県 佐渡市,0.05838111,211.31576991113081
1,36,38.56186791198818,0.5810057417641827,140.49490095474243,0.4137236031069956,山形県 尾花沢市,0.03530095,73.8148557248886
2,40,36.248683597498314,0.1814337041739798,137.10289987171063,0.7390624727290297,岐阜県 飛驒市,0.06776701,69.1559028908465
3,56,26.8131343668172,1.3105694135356982,127.87693561748678,1.0378664089211587,沖縄県 伊是名村,0.061653502,178.1396900522653
4,36,36.75724732836094,0.6392942301118268,138.97776371991554,1.3672207482849354,群馬県 みなかみ町,0.084223,140.78067334158274
5,28,36.020145772680564,0.5252771726541203,137.70597742116655,1.4235055855212446,長野県 松本市,0.06744523,140.47152338256788
6,14,36.02267388855159,0.16412581047262953,139.3060245225515,0.1414747851511957,埼玉県 嵐山町,0.041299626,22.208270853451143
7,12,34.08387851006288,0.8891739662920354,136.5307628672549,3.747963522415199,三重県 南伊勢町,0.0654947,358.4158867085999
8,11,37.48710921468807,1.0161251310852137,139.19468417630102,2.6470966470695565,新潟県 三条市,0.057343215,258.9985016020807
9,24,36.73443261546454,1.4747044187913276,136.7464184231292,2.6537369373814177,石川県 かほく市,0.069198385,287.26943452555366
10,14,37.941488168506375,1.4137679834762111,139.1280810978429,1.6753746643630971,新潟県 新潟市,0.038413238,214.7924153373723
11,212,34.174919797973025,2.7260615861393123,134.55400652507393,4.0078623344439315,徳島県 藍住町,0.100731984,476.4734115913875
12,18,32.25224358958599,2.1867901476364406,135.20885699218977,4.743906973779497,?,0.048481297,507.1841794746153
13,24,36.64399846721616,1.2286457592550057,136.72624750202036,2.4765947321337083,石川県 金沢市,0.1057925,259.3272748836696
14,19,41.459805832700475,1.0843129625718693,140.90157734581578,0.5779578153010834,青森県 大間町,0.036488038,129.60594585625927
15,28,35.36036848745236,0.9304130865290721,138.57703846121964,2.035530980304751,静岡県 富士宮市,0.069326825,211.23210760585755
16,37,35.30309750640093,0.9070789915123117,137.34463894254634,2.067832127529304,岐阜県 恵那市,0.08120746,212.66533808993103
17,56,37.42014287269542,1.5660109607862753,138.64315446613085,1.6293595079427425,新潟県 柏崎市,0.110384144,225.49472598966193
18,23,43.05315238011845,0.020884201382330464,141.35386840203478,0.005721386007427627,北海道 札幌市,0.026711438,2.364139525231053
19,21,42.087219621255706,1.1205183259300404,142.1763536010589,1.5949599669751249,北海道 新ひだか町,0.041894045,180.92022460918656
20,12,36.697257334623394,0.09564655065465401,138.94161651101066,0.42434362233510126,群馬県 みなかみ町,0.05135712,39.23059013420825
21,41,31.902958522835505,1.960391604400607,134.48594093209098,4.6617228021556425,?,0.08233605,490.2291537066916
22,17,33.634845046880635,1.321743856620495,133.04470773362516,2.9700788499190356,愛媛県 久万高原町,0.060728807,311.2348355414896
23,20,41.133048376077184,2.8594376797412258,141.34788874681743,2.5000347285612907,青森県 東通村,0.0414307,380.0355611549651
24,19,40.95601170946553,3.033082333400354,142.19854604112683,1.9018998919771242,?,0.046342887,372.51474132514306
25,23,43.73568452155521,0.41610866189881257,143.60319519340928,1.0983223984169497,北海道 置戸町,0.049810544,99.4620001824992
26,11,34.896114773707296,0.9841233119769262,136.7551946912383,3.064559767594151,三重県 鈴鹿市,0.04965167,299.6238985470574
27,21,43.548958251574994,0.4176912701304138,143.90910967490524,1.4879068350983327,北海道 津別町,0.026084771,128.36911666075528
28,32,42.60242549354675,0.43751976427846634,141.25746769900027,1.0559726009043586,北海道 白老町,0.027242843,99.0061038025191
29,25,36.69399645014204,0.1347570389862792,138.33593461721537,0.27060089406890747,長野県 小布施町,0.028445482,28.35153324951158
30,121,36.879499892649505,0.2901569606374734,138.430702662805,0.5489728860632189,長野県 飯山市,0.06655449,58.4223021356168
31,28,36.64045172597832,0.09572883637517259,138.648207489604,0.27237910705458634,群馬県 中之条町,0.037711266,26.484779934254043
32,12,36.18790508256693,0.5892195907350327,138.0487809501243,0.7676165640424916,長野県 松本市,0.030745054,94.90333600184712
33,11,36.3511568719086,0.5562709711777936,138.4908541511934,0.58427486434123,長野県 御代田町,0.039154194,80.87611579954141
34,14,36.45906903703911,0.42550092636514664,138.94778922032012,0.6553522557488599,群馬県 榛東村,0.02550656,75.1915454748927
35,20,36.182652932539106,0.47418621139348105,138.59605258751557,0.4166587666283015,長野県 佐久市,0.034507144,64.52827395382226
36,14,36.197056134812414,0.22989867890328045,138.5007233695648,0.16517693214801504,長野県 佐久市,0.034193527,29.497879907618593
37,18,31.75675783206799,0.3369564689164406,130.6509449785004,0.2882037728046796,鹿児島県 姶良市,0.057871293,46.24752253951038
38,11,36.16913369583824,0.4701034297223597,138.49688919660213,0.2470263635302978,長野県 佐久穂町,0.06001498,56.68234185352242
39,39,42.29676630414477,0.777026559104986,141.0334484535328,0.705306446234156,北海道 室蘭市,0.05575828,103.88640827880289
40,12,41.59303071731058,0.4295633485570591,140.912467842644,0.7143963768038086,青森県 大間町,0.026854541,76.09629729872123
41,13,40.49624303634121,1.1805417791341597,140.3632522740116,0.6507434871718502,青森県 弘前市,0.020659624,142.08703636049816
42,13,37.28976882073471,1.7601401806405645,139.0847215908297,0.9291181990335113,新潟県 魚沼市,0.03201863,211.90520544973023
43,36,40.82427245972296,2.2404632386192715,140.7638315976055,1.183906760159293,青森県 青森市,0.04626609,267.83642739172893
44,18,41.718375643288056,2.1801623019175658,141.8017026564332,1.4848179855161185,?,0.029821957,271.47267856641207
45,15,43.38941574603863,0.008595471594859579,144.04185842990057,0.0038155922494884833,北海道 釧路市,0.023724841,1.002512124056919
46,36,37.08977120737896,0.8090897576438664,138.2982381138838,0.8073779725890093,新潟県 上越市,0.039525513,114.78773963313695
47,13,36.50529772358341,0.17521416260228767,138.106255853014,0.6372853028719098,長野県 千曲市,0.038834427,60.09409225778282
48,21,39.717831783245714,0.9128447531876347,140.68470534947028,0.6644047876480164,秋田県 仙北市,0.033192895,116.1247030073644
49,26,38.707445086367926,1.0923001971678783,140.24992289080234,0.996578650161708,山形県 大蔵村,0.038875017,148.83543052728504
50,53,42.97667354568441,1.1611750811017885,141.5512605474041,0.9934207200849463,北海道 北広島市,0.07526386,152.05750289224784
51,17,37.34084475151572,1.119807361419329,139.12438403977234,1.165783076186294,新潟県 魚沼市,0.042821873,161.3518324631372
52,36,37.944076528537316,1.6318162671482985,139.2075203304303,1.1301339414698701,新潟県 新潟市,0.0903643,206.38618469549965
53,169,42.40444329977288,1.1995159180486537,141.39147723690243,1.028377915752163,北海道 白老町,0.0912616,157.58333746383582
54,25,41.57341151150541,1.3353987521312678,140.79350963889817,0.8019671293118542,?,0.041261464,162.50178755980988
55,26,43.170095754816884,0.665268771060234,142.79058309311338,1.487693195618979,北海道 新得町,0.048614606,141.27277704821978
56,19,43.444954955274774,0.4263940755090344,143.6031990991279,1.3980098239813805,北海道 足寄町,0.028333178,122.20319389653649
57,17,37.0163785550993,1.8515782553125408,137.89148858597875,1.953676738070836,新潟県 糸魚川市,0.045306496,268.74274017423176
58,62,32.661264408158246,1.4491301249092223,131.97732584818073,2.798746001628602,宮崎県 延岡市,0.10225217,307.04374807664993
59,12,32.71603628481619,0.8832574189811103,130.71924688393628,0.5630148124126516,熊本県 熊本市,0.050720543,111.25131668978698
60,59,33.60111854738808,1.1070143811241113,131.99246491647344,2.711133986776683,山口県 上関町,0.10907544,279.152091005885
61,17,33.788166329049616,1.1307796685020939,132.87951283708315,3.214278286366696,愛媛県 東温市,0.05946042,321.9948768075913
62,13,34.773076361215736,0.8977436191460088,137.19472842410036,3.970715973809726,愛知県 蒲郡市,0.05766059,375.5029215878175
63,16,35.599706949427215,0.39707504875816224,139.21211047200012,1.4942680030778206,神奈川県 相模原市,0.08731916,141.88393237862374
64,26,35.23724623369665,0.4189822389421213,137.82072633995662,1.8948368963736861,長野県 天龍村,0.056879897,177.9726410176024
65,20,34.28791286054495,1.1463715637206728,135.1979369717832,3.219860764862864,大阪府 岬町,0.07327812,321.5435740032744
66,27,35.463798917013925,2.013850061615748,137.19939889578694,3.2634979316261523,岐阜県 御嵩町,0.066969946,370.1626372910851
67,10,36.88204977171962,0.8867974207662515,139.10757127659892,1.1264214293594361,群馬県 みなかみ町,0.042552553,140.32610404606388
68,21,33.57349212600672,1.456473873429528,132.21105982666035,2.9407595352428575,愛媛県 伊方町,0.074022435,316.39220551075806
69,28,35.78459467210894,2.0540483960024947,137.06750304124745,3.3720369782599464,岐阜県 郡上市,0.066361085,379.7091943782028
70,12,33.82207200646695,1.1748426412006086,134.4021449138481,3.467482598732484,徳島県 那賀町,0.07706469,345.3255777900838
71,23,35.826588679802306,0.6796928172347326,139.26559001250976,1.2568850369069542,青梅市,0.08370218,135.96894936528594
72,34,34.238761275563974,1.4538467030938305,134.60219620481647,3.2870997313788437,徳島県 鳴門市,0.1137843,342.09223529820355
73,15,33.897750577577604,0.9220990663693496,134.43015438440696,2.4471069981133784,徳島県 上勝町,0.045611247,247.6063654254756
74,30,33.159053941908994,1.4242580795220958,132.4949676667453,3.395653655190964,愛媛県 宇和島市,0.053166788,352.92757790442624
75,10,36.62638025870636,1.466769538390265,139.73263701759498,1.013586795628433,栃木県 日光市,0.04946941,186.1728013827641
76,17,32.154442595481875,0.594451297635116,130.93541060443698,0.3349627246277286,熊本県 あさぎり町,0.057937104,73.10787293834629
77,39,39.234789557047684,1.4938431954578881,140.31268864037827,0.9694998551482772,秋田県 羽後町,0.054607995,185.5883130728214
78,94,33.72294785241291,1.2863451503397982,133.03020117851605,3.1779357343727486,愛媛県 久万高原町,0.111372314,326.2935363056778
79,24,36.67947817795853,1.213120843488502,137.2859615546928,2.7789056307857285,富山県 滑川市,0.057115465,281.65490047209073
80,19,35.998890484835755,1.5975563538574549,137.79939207933958,2.6921285026548585,長野県 木祖村,0.11678642,299.82139059629174
81,25,36.250340090882226,0.9434958566292523,139.43904781980845,0.5684985095450443,群馬県 邑楽町,0.04444841,116.4373871950435
82,41,33.54319020909645,1.4390587458180046,133.5646857430331,3.7225159793563254,高知県 高知市,0.08593449,379.6303763583859
83,11,34.07841920308621,0.7988168410113999,132.61866513693505,1.4910455455747897,広島県 呉市,0.03451275,163.26095498971367
84,37,32.172272083033555,0.6954270188062809,130.5791424759821,0.2617246279395237,熊本県 水俣市,0.079426154,81.01459594056185
85,21,32.89097783928368,1.052315650646882,131.5710871851781,2.1349861402000583,大分県 豊後大野市,0.05461197,230.7453292987961
86,33,35.454243504065815,0.417740427890243,138.5976665606427,1.4612482056613876,山梨県 身延町,0.08709485,140.02403362955135
87,369,33.644699592756076,1.3008037763016178,132.90406273552458,2.793460377279001,愛媛県 久万高原町,0.22154132,295.77200227302313
88,20,33.05490326786818,0.5456931257792837,130.47276713627957,0.3850791282580926,福岡県 大牟田市,0.054985374,70.37354060734637
89,94,33.67830062713761,1.4867880705379242,133.1903994633113,3.627467303464884,高知県 仁淀川町,0.12539896,373.5076110356457
90,21,33.23595229684472,0.779730459657349,131.02803848516055,0.6850970635828101,大分県 日田市,0.08755939,107.40889829040911
91,15,35.37107148629347,0.5342773814967051,138.5248611012491,1.8820747103419253,山梨県 南部町,0.049869664,180.3775675955793
92,183,34.74742154909111,1.5006576594684213,135.4565049260592,3.6269450780447805,大阪府 豊中市,0.1457613,370.36984430041883
93,42,34.812814308515755,1.5676579609289398,135.7580021160125,4.009163256926102,大阪府 枚方市,0.080372766,404.68968248477046
94,29,32.451455329302526,0.8447782425298457,130.96730425909024,0.9866513324569821,熊本県 八代市,0.05167497,131.65757309836386
95,11,33.434318977869935,0.6959476661576592,131.1673714634193,1.889721458146918,大分県 中津市,0.054649454,191.33556554201076
96,16,32.169636013250496,0.61808402396462,130.8788662809833,0.2931553586384013,熊本県 錦町,0.04789115,73.93014105348102
97,36,33.89668707209401,1.1647995769754589,133.32988834220046,3.117111660161711,愛媛県 新居浜市,0.099393874,314.9563936312138
98,49,35.59720518719336,1.115127007114111,136.40950313697428,3.00579107524924,岐阜県 揖斐川町,0.058795154,298.19804992965163
99,16,33.789803772865305,0.8152735000056078,134.13639892343326,2.5711807240631233,徳島県 那賀町,0.03531274,253.86906398079248
100,65,33.487566459288,1.2014373964337475,132.56900036301937,2.857304828350378,愛媛県 大洲市,0.053265072,296.2302755767957
