criterion,hdbscan_10,location,count,umap_std_mean,geo_std_km
σUMAP昇順,69,岐阜県 郡上市,28,0.066361085,379.7091943782028
σUMAP昇順,30,長野県 飯山市,121,0.06655449,58.4223021356168
σUMAP昇順,66,岐阜県 御嵩町,27,0.066969946,370.1626372910851
σUMAP昇順,5,長野県 松本市,28,0.06744523,140.47152338256788
σUMAP昇順,2,岐阜県 飛驒市,40,0.06776701,69.1559028908465
σUMAP昇順,9,石川県 かほく市,24,0.069198385,287.26943452555366
σUMAP昇順,15,静岡県 富士宮市,28,0.069326825,211.23210760585755
σUMAP昇順,105,香川県 坂出市,17,0.069359735,337.006522416899
σUMAP昇順,106,愛媛県 鬼北町,17,0.07213016,342.21681549085775
σUMAP昇順,65,大阪府 岬町,20,0.07327812,321.5435740032744
σUMAP昇順,68,愛媛県 伊方町,21,0.074022435,316.39220551075806
σUMAP昇順,50,北海道 北広島市,53,0.07526386,152.05750289224784
σUMAP昇順,114,豊島区,43,0.075588554,53.932937376032626
σUMAP昇順,123,愛知県 豊田市,27,0.07562833,214.59374754300683
σUMAP昇順,133,中野区,65,0.07601975,17.18572599141953
σUMAP昇順,70,徳島県 那賀町,12,0.07706469,345.3255777900838
σUMAP昇順,84,熊本県 水俣市,37,0.079426154,81.01459594056185
σUMAP昇順,104,高知県 須崎市,44,0.07978814,280.9854827295423
σUMAP昇順,93,大阪府 枚方市,42,0.080372766,404.68968248477046
σUMAP昇順,16,岐阜県 恵那市,37,0.08120746,212.66533808993103
σUMAP昇順,21,?,41,0.08233605,490.2291537066916
σUMAP昇順,71,青梅市,23,0.08370218,135.96894936528594
σUMAP昇順,4,群馬県 みなかみ町,36,0.084223,140.78067334158274
σUMAP昇順,82,高知県 高知市,41,0.08593449,379.6303763583859
σUMAP昇順,86,山梨県 身延町,33,0.08709485,140.02403362955135
σUMAP昇順,103,高知県 香美市,63,0.08715496,330.0678831403523
σUMAP昇順,63,神奈川県 相模原市,16,0.08731916,141.88393237862374
σUMAP昇順,90,大分県 日田市,21,0.08755939,107.40889829040913
σUMAP昇順,52,新潟県 新潟市,36,0.0903643,206.38618469549965
σUMAP昇順,53,北海道 白老町,169,0.0912616,157.58333746383582
σUMAP昇順,108,京都府 和束町,38,0.093149506,188.77500333837804
σUMAP昇順,97,愛媛県 新居浜市,36,0.099393874,314.9563936312138
σUMAP昇順,11,徳島県 藍住町,212,0.100731984,476.4734115913875
σUMAP昇順,58,宮崎県 延岡市,62,0.10225217,307.04374807664993
σUMAP昇順,13,石川県 金沢市,24,0.1057925,259.3272748836696
σUMAP昇順,60,山口県 上関町,59,0.10907544,279.152091005885
σUMAP昇順,17,新潟県 柏崎市,56,0.110384144,225.49472598966193
σUMAP昇順,115,山梨県 早川町,31,0.110675134,173.54290196531775
σUMAP昇順,78,愛媛県 久万高原町,94,0.111372314,326.2935363056778
σUMAP昇順,72,徳島県 鳴門市,34,0.1137843,342.09223529820355
σUMAP昇順,80,長野県 木祖村,19,0.11678642,299.82139059629174
σUMAP昇順,112,滋賀県 日野町,91,0.12290253,212.9833957956349
σUMAP昇順,89,高知県 仁淀川町,94,0.12539896,373.5076110356457
σUMAP昇順,92,大阪府 豊中市,183,0.1457613,370.3698443004188
σUMAP昇順,119,長野県 阿南町,513,0.1687831,241.0715683130909
σUMAP昇順,109,滋賀県 甲賀市,203,0.1811277,166.02530151117253
σUMAP昇順,87,愛媛県 久万高原町,369,0.22154132,295.77200227302313
